tempo,rms,spectral_centroid,zcr,mean_pitch,pitch_var,file,category
117.45383522727273,0.05787825211882591,1593.1627280549853,0.114192431187113,1457.6805419921875,576948.5625,deck-the-halls-background-christmas-music-for-video-calesta-version-253224.mp3,rhythmic_rising_pitch
135.99917763157896,0.06744429469108582,953.0323172167782,0.04448612555630805,664.2428588867188,384617.1875,lullaby-baby-sleep-music-347234.mp3,rhythmic_rising_pitch
135.99917763157896,0.03264995664358139,636.6021128269101,0.05812436508320434,629.081298828125,38923.765625,final-lullaby-9704.mp3,rhythmic_rising_pitch
129.19921875,0.15331006050109863,1326.6686823487285,0.06491948650348298,970.8779296875,607473.5625,legacy-of-brahms-lullaby-background-orchestral-music-for-video-48sec-274549.mp3,rhythmic_rising_pitch
129.19921875,0.1516406089067459,1324.7320235680413,0.0648930316369969,930.5062255859375,527041.75,legacy-of-brahms-lullaby-background-orchestral-music-for-video-3min-274958.mp3,rhythmic_rising_pitch
129.19921875,0.15171754360198975,1319.508604204254,0.06483445300406347,969.8090209960938,610924.4375,legacy-of-brahms-lullaby-background-orchestral-music-for-video-full-274550.mp3,rhythmic_rising_pitch
172.265625,0.13788968324661255,1042.1027695423895,0.08570280754160217,903.4274291992188,223363.109375,lullaby-baby-sleep-music-388567.mp3,rhythmic_rising_pitch
143.5546875,0.12986630201339722,763.296592772113,0.06583633659055728,511.96795654296875,92998.375,kids-relaxing-lullaby-music-349558.mp3,rhythmic_rising_pitch
143.5546875,0.0633237287402153,1434.6651152730315,0.074576268624226,1131.9420166015625,943986.5,lullaby-acoustic-guitar-438657.mp3,rhythmic_rising_pitch
117.45383522727273,0.057635027915239334,1594.8086510052283,0.11342108286571208,1467.136962890625,581541.6875,deck-the-halls-background-christmas-music-for-video-38-second-253223.mp3,rhythmic_rising_pitch
69.83741554054055,0.07353674620389938,1065.8110853631306,0.040506179856811146,698.2451171875,476007.59375,lullaby-acoustic-guitar-music-347366.mp3,trembling_pitch
89.10290948275862,0.09088952094316483,1022.0240394234255,0.03748238861745356,596.4816284179688,303741.65625,lullaby-baby-sleep-music-349977.mp3,trembling_pitch
89.10290948275862,0.013822480104863644,1234.6690220750902,0.07453469669117647,802.0484619140625,296071.53125,lullaby-music-vol20-186394.mp3,trembling_pitch
75.99954044117646,0.03338410705327988,1572.2636771845598,0.08529993771768576,1107.3717041015625,466568.15625,lullaby-baby-sleep-music-331777.mp3,trembling_pitch
92.28515625,0.06376159936189651,984.7234839778966,0.0824995011368034,766.4566040039062,97153.15625,lullaby-baby-sleep-music-347721.mp3,trembling_pitch
75.99954044117646,0.09779520332813263,471.5696184343888,0.03647370235100619,450.4185791015625,88564.53125,little-star-lullaby-417636.mp3,trembling_pitch
95.703125,0.11086587607860565,1436.7023012439201,0.058544997460332815,601.9362182617188,227825.0625,creeping-music-box-horror-lullaby-365186.mp3,trembling_pitch
80.74951171875,0.13149186968803406,944.1466303649398,0.03557537067047214,652.2858276367188,426751.03125,forest-lullaby-110624.mp3,trembling_pitch
